"Project_Budget_External_ID__c","Project__c","Costs__c","Description__c"
"3","3","2000.00","Aanschaf materialen voor kippenhok, varkenskot, kippen, varkens en een hek van gaas eromheen."
"12798","652","100.00","Didactisch materiaal (schrijfmateriaal, pennen, vellen papier en stiften, etc)"
"9","9","2785.00","Nodig voor het bouwen van een nieuw slaap gedeelte voor de jongens"
"10","10","5734.00","De bouwkosten van de werkplaats"
"13","13","282.00","voor een graanmolen met generator die op een betonnen vloertje onder een afdak geplaatst moet worden."
"16","16","2000.00","Nouvelle Vie au Rwanda heeft een startkapitaal nodig voor de aanschaf van fietsen op de lokale markt en voor het organiseren van trainingen van de gezinnen die een fiets krijgen."
"18","18","10000.00","Na het volgen van vakopleidingen kunnen jonge nomaden m/v met een kleine lening een eigen bedrijf, winkel of dienst beginnen"
"23","23","5000.00","Aanvullen van het schoolgeld van kinderen uit arme gezinnen en van wezen."
"25","25","512.00","In het TRC (Teachers Resource Centre) komt een dvd-speler met dataprojector en een verzameling educatieve dvd's die door de scholen in de regio geleend kunnen worden."
"26","26","2800.00","Het geld is nodig voor het opstarten (aanschaf zaden, tuingereedschap biggen en kippen)van bovengenoemd project. Met het gevraagde bedrag van 2800 euro kunnen wij 4 nieuwe soortgelijke projecten verspreid over de kei-eilanden opstarten."
"29","29","5000.00","bouw van de school en inrichting daarvan"
"30","30","150.00","Aanschaf auto, gereedschap en materialen."
"35","35","4888.00","Het geld is nodig voor zaden en twee waterpompen op zonne- energie en landbouwmaterialen."
"37","37","2801.00","Het mobiele operatie team uitrusten met deze specifieke eigen gereedschappen die anders steeds weer moeizaam moeten worden geleend uit het nationale Kinderziekenhuis die er dan zelf om onthand zit."
"12799","652","150.00","Bandrecorders voor opnames interviews"
"39","39","3000.00","Verbeteren van huisvesting (restauratie bestaand gebouw)."
"43","43","1775.00","De inrichting van het 5e woonhuis zodat weer tien kinderen met een zorgmoeder een liefdevol huis en thuis krijgen."
"12800","652","400.00","Transport kinderen"
"9031","95","3000.00","Vervoer, eten & drinken, entreegelden en tekenmateriaal."
"8193","199","975.00","stoelen 130 * 7,50"
"8194","199","1625.00","tafels 65 * 25"
"8195","199","200.00","schoolborden 4 * 50"
"8196","199","400.00","onderwijzersbureau 4 * 100"
"8197","199","120.00","onderwijzersstoel 4 * 30"
"8198","199","500.00","transport JHB-Maseru"
"8199","199","100.00","transport Maseru-Malealea"
"8200","199","1845.00","bedrag betaald aan de bouw van de klasliokalen in de eerste fase van het project"
"12158","344","450.00","Kosten voor de geleasde internetconnectie op Tsedale Nega College"
"12159","344","100.00","Leidingen, routers, aansluitingen op de computers"
"12160","344","200.00","Aansluiten van de computers op internet"
"19034","917","450.00","communicatieapparatuur"
"12801","652","400.00","Behandeling thema's door genodigden ten behoeve van inhoud krant."
"52","52","4337.50","Materiaal, landbouwartikelen en zaden om groentekassen te kunnen bouwen."
"56","56","0.00","Operationele kosten zoals leraren, onderhoud en materiaal."
"59","59","2100.00","Het geld van 1%CLUB wordt gebruikt voor de aanschaf van 37 van de 100 fietsen voor scholieren (en leraren) die meer dan 5 kilometer van school wonen."
"62","62","427.00","Met het geld worden de materialen gekocht die nodig zijn om de oven te bouwen."
"68","68","2000.00","Deels voor accommodatie upgraden om toeristen/bezoekers te kunnen laten overnachten, deels voor training van Zambianen die activiteiten gaan organiseren en het project gaan runnen."
"72","72","2600.00","De cultivering, irrigatie, aanplant van 10.000 Jatropha boompjes en de teelt van voedselgewassen tussen de Jatropha struiken."
"8260","222","4998.00",""
