"Task_External_ID__c","Project__c","Deadline__c","Effort__c","Extended_task_description__c","Location_of_the_task__c","Task_expertise__c","Task_status__c","Title__c","Task_created_date__c","Tags__c"
"517","1625","2013-10-27","4","Help ons om een aantal kleine problemen op de website op te lossen. Onze website maakt gebruik van het Joomla-platform.

We zijn erg tevreden over onze website. Deze heeft een frisse uitstraling die ons erg uitspreekt. De website maakt gebruik van het Joomla-platform (versie 1.5.28). Echter, de template die we gebruiken schijnt niet goed overweg te kunnen met die laatste updates van de server (met name PHP versie 5.4). Hierdoor is onze menubalk niet meer zichtbaar en verschijnen artikelen zowel in het Engels als het Nederlands.

Wij zouden graag in contact komen met iemand die:
1) kan inventariseren wat de mogelijkheden zijn om binnen de huidige configuratie (zelfde template, zelfde server-instellingen) bovenstaande problemen op te lossen;
2) indien dit niet mogelijk  is, ons kan helpen bij het upgraden van onze Joomla-website (naar versie 2.5 of 3.0) waarbij het huidige uiterlijk en vormgeving gewaarborgd blijft.","Kan vanuit thuis worden gedaan","Webdevelopment","open","Help onze website te verbeteren","2013-07-27","joomla, design, website, "
"516","1564","2013-10-27","4","Wil jij graag een tijdje naar het buitenland, bijvoorbeeld om stage te lopen vanuit je opleiding of om vrijwilligerswerk te doen? Wil je graag naar een ontwikkelingsland? Ben jij een doorzetter, houd je van een uitdaging en geef je niet snel op? Sta je open voor andere culturen en wil je graag samen met mensen uit een ander land iets bereiken? Dan pas jij precies bij ons!!

Wij zijn op zoek naar vrijwilligers die een tijdje naar Gambia willen om een bijdrage te leveren aan ons project in Faraba Kairaba. We zoeken mensen die mee willen helpen om het onderwijs op de nieuwe nursery school vorm te geven. Een achtergrond vanuit het onderwijs, maatschappelijk werk, pedagogiek of iets dergelijks is hierbij gewenst. Ook zoeken we mensen die letterlijk de handen uit de mouwen willen steken en mee willen helpen met de bouw van de verschillende voorzieningen in dit dorp.

Het is belangrijk dat je zelfstandig bent; er zal niet altijd iemand vanuit Nederland aanwezig zijn en het kan voorkomen dat je samen moet werken met onze Gambiaanse partners. Dit gaat over het algemeen prima en is natuurlijk een mooie uitdaging!

Over de periode valt te overleggen; je kunt het hele jaar door naar Gambia en kunt van een weekje tot een jaar helpen (en alles daar tussenin)!

Op dit moment zijn wij dringend op zoek naar iemand met een onderwijskundige achtergrond die een tijdje naar Gambia wil gaan vanaf september 2013.","Faraba Kairaba in Gambia","Education","open","Wil jij een tijdje naar het buitenland?","2013-07-17","onderwijsassistent, lesgeven, school, afrika, vrijwilliger, gambia, onderwijs, "
"515","1499","2013-10-27","4","We the SWEAD organization request volunteers for online promotion of our 1%club project.

We the SWEAD organization request volunteers for online promotion of our 1%club project.","Anywhere in the world","1%EVENT","open","Project marketing  plan /your skills for 1%club","2013-07-17","volunteers, "
"514","1499","2013-10-27","4","We the SWEAD organization request volunteers for online promotion of our 1%club project.

We the SWEAD organization request volunteers for online promotion of our 1%club project.","Anywhere in the world","1%EVENT","open","Project marketing and fundraising","2013-07-17","volunteers, "
"513","1514","2013-10-27","4","Het organiseren van acties, werven van donateurs en het promoten van de stichting op braderieën, feesten en andere evenementen

Wij zoeken vrijwilligers!
 
Profiel voor een vrijwilliger bij La Oportunidad
Heb jij de volgende kwaliteiten in huis?
 
Wil je je actief inzetten voor een vrijwilligersorganisatie?
Ben je 18 jaar of ouder?
Heb je een vlotte babbel?
Ben je bereid om verder te kijken dan je eigen samenleving en omgeving?
Kan je een verklaring omtrent gedrag overleggen?
Woon je in Zeeland of dicht bij Zeeland?
Vind je organiseren leuk?
Durf je creatief te denken? 
 
Zo ja: neem contact met ons op voor een persoonlijk gesprek en word dan vrijwilliger bij la Oportunidad!

info@la-oportunidad.com
nicole@la-oportunidad.com
of bel voor meer informatie naar 06-20934043
 
Neem ook een kijkje op onze website voor meer informatie!
www.la-oportunidad.com","Nederland","Fundraising","open","Vrijwilligers","2013-07-11","moeders, colombia, stichting la oportunidad, kinderen, armenia, quindio, club van waarden en normen, vaders, zwerfkinderen, la oportunidad, huiswerkbegeleiding, straatwerk, straatkinderen, nederland, vrijwilligers, ouders, stichting, "
"512","1591","2013-10-27","4","Een legitieme rechtvaardiging voor de mogelijkheid van aftrek van het bedrag van giften aan Culturele ANBI zodra dit in de vorm van lijfrente gebeurt.

Op de websites van sommige culturele ANBI (Algemeen Nut Beogende
Instelling) staat informatie over de voordelen van het geven van giften aan
een culturele ANBI. Een van deze voordelen is de mogelijkheid van
lijfrente aftrek voor een bedrag dat gelijk is aan 125% van het geschonken
bedrag. Onze stichting wil ook dit voordeel beschrijven op haar website,
maar de juridische bevestiging van een deze aftrek kunnen wij niet vinden.
Voorbeeld:
Belastingtips giften:
Periodieke gift via notaris: het is ook mogelijk een gift in de vorm van een
lijfrente te doen. Dat is volledig aftrekbaar. Dit moet dan wel plaatsvinden
bij notariële akte en de looptijd van de lijfrente moet tenminste vijf
kalenderjaren zijn. Betaalt u dus ieder jaar een vast bedrag aan
bijvoorbeeld een kerkelijke instelling, valt het te overwegen dat u deze gift
in de vorm van een lijfrente doet.","Nederland","Administration / Finance","open","Extra Voordeel van giften aan Culturele ANBI.","2013-07-08","gift, aftrek, lijfrente, anbi, "
"511","1625","2013-10-27","4","Onze informatieve video is erg lang. Daarom willen we hem het liefst opknippen in kleinere fragmenten van ongeveer 2 minuten. Wie o wie kan ons hierbij helpen?

Op onze projectpagina staat een video over het project dat wij ondersteunen. Deze video is ruim een jaar geleden in elkaar gedraaid door een vrijwilliger en bestaat uit kleine clipjes van de kinderen die ondersteund worden door Anjali House. Er worden verschillende onderwerpen aangesneden, zoals wat ze leuk vinden aan Anjali House, wat ze allemaal leren etc. 

Deze video duurt nu ruim 17 minuten. Dit is eigenlijk veel te lang voor mensen om te bekijken. We zijn dan ook op zoek naar een creatief persoon die ons kan helpen deze video op te delen in kortere fragmenten. Je mag natuurlijk ook zelf input leveren over hoe we deze fragmenten hip en flitsend kunnen maken.","Kan gewoon vanuit thuis worden gedaan.","Photo / Video","in progress","Video editing: Maak ons filmpje korter en leuker!","2013-07-08","creativiteit, editing, video, "
"510","1516","2013-10-27","4","Niketan zoekt een vrijwilliger die het plan 'Durable care and education for disabled toddlers, children and youngsters in Bangladesh' kan nakijken op grammatica en taalfouten.

Niketan zoekt een vrijwilliger die het plan 'Durable care and education for disabled toddlers, children and youngsters in Bangladesh' kan nakijken op grammatica en taalfouten. Het gaat om een document van 27 pagina's.","vanuit huis.","Translating / Writing","in progress","Gezocht 1% lid met Engelse taal knobbel","2013-07-04","gehandicapte kinderen, educatie, engels, bangladesh, vertalen, "
"509","1535","2013-10-27","4","Looking to meet different people on different platforms

Hi! I’m looking to expand my international network for recognition of my idea/project, please support me in this by adding me to your professional network.

You can find me on linked in at http://ke.linkedin.com/in/kahenya/, on 1% club at http://onepercentclub.com/members/kahenya and on Facebook at https://www.facebook.com/kahenya.kamunyu","Everywhere","Social Media","open","Befriend me on Linked-in &/or the 1%Club.","2013-07-04","network, contacts, expansion, befriend, "
"508","1535","2013-10-27","4","Does anyone have any contacts in the media industry in the United States, Europe and Asia?

I am looking for contacts within the content industry based in Europe, North America and Asia, most notably Japan. In order to provide informational content through legal channels, rights have to be bought from broadcasters and content providers. This industry is difficult to get into contact with as a starting player. Please help me by providing me with either and or a Name, Telephone number, and specific e-mail address of your person of contact.","Everywhere","Photo / Video","open","Looking for contacts within the content/broadcasting industry.","2013-07-04","foreign, media, contacts, "
"507","1393","2013-07-06","4","How can a non-formal educational program  be self-sustainable giving the limitation of of our community (limited financial resources, lack of interest ect)

Our question is: How can a non-formal educational program  be self-sustainable giving the limitation of of our community (limited financial resources, lack of interest ect)

We already tried securing partnership with local organisation  and utilising avialable means which limites level of outreach and impact.

Circumstances to considers are 
-	Age group ( 10 -19)
-	Financial incapability of their parents
-	Lack of interest (do not regard this as important to invest in)
-	Have  the notion the NGO’s are out to render all services for fee
-	Area of project implementation is a semi-urban and highly student residential area with streets floaded with petty traders engaged I all sort of business","Amsterdam - Online","Economy / Business","realized","Make our project self-substainable","2013-06-26","business, income, "
"506","1535","2013-07-06","4","We need some help with a funding strategy.

Initially, we wanted to use Village Cinemas to deliver content to low cost markets, but after our 2 pilots earlier in the year, we discovered that our potential consumers wanted to access the content at home. 

We need funds to get started, but it currently costs a lot of time and is not leading anywhere. We have two questions for the group: 
1. How do you access funding without too many hassles and without giving out too much equity?
2. We have been trying to speak to the studios in Europe, America and Asia, and they rebuff us and go as far as being rude, yet here, the pirate market is booming with their content. How do we reach out to them?

At the end of the day, we would like to know what we are doing wrong when it comes to raising capital, raise capital and access content providers easily without having to jump through hoops or spend nearly 3 times what current distributors are spending.","Online","Economy / Business","realized","Fundraise Strategy","2013-06-26","partners, fundraising, "
"505","1530","2013-07-06","4","How do we make our project substainable?

The wheelchair consumers in most cases are the most disenfranchised of all citizens as disability by definition removes most ablity to earn income and for the family members there are usually additional expenses and one parent needs to stay home to care for the user. In about 20% of situations they will be able to pay something towards the cost or pay it off. International aid organisations will be the primary source of funding in 80% of cases. Question: how can we come to a sustainable financing model? How to achieve that the wheelchair users have access to cushions over time and that more people will have access to these cushions, other than by donations?","Amsterdam","Economy / Business","realized","Wanted: financing model","2013-06-26","substainable, "
"504","1528","2013-07-06","4","Of course all of the children want solar lights, but how do we choose who gets them?

Now that we are implementing sustainable model suggested by 1 %Co-Creation last year, which the community are welcoming warmly, and impacting on the project very positively hence the project is become self sustainable. 

When we started the project we wanted to assist poor bright kids with solar kit lighting system to study at night, however we have also considered to help all poor kids without considering their education capability.  Now this has become very magnanimous task since, the kids are so many (for example one school can have more than 400 poor kids) who are not connected to electricity hence the need of solar lighting kit. We have been wondering how do we focus? Do we need to come up with criteria of identifying which kids benefit from the lighting community since in a given school all of them may have sincere need to be helped? Can you help us with this challenge?","online","Economy / Business","realized","How to select?","2013-06-26","focus, solar, criteria, "
"503","1399","2013-10-27","4","Like onze foto op de wedstrijdpagina! Fotograaf Roland Pupupin doneert de waarde van de prijs wanneer hij wint. Wil je liken? http://bit.ly/10zM3fr

Ga naar de projectpagina en like deze prachtige foto van Juana.  http://bit.ly/10zM3fr 

Vind je hem echt heel mooi? Vraag dan ook via je social media netwerk aan mensen om de
foto te liken.","Thuis, op het werk, in de trein.. Overal","Online Marketing","closed","1% van je tijd: like onze projectfoto","2013-06-20","wedstrijd, foto, twitter, facebook, like, "
"502","1482","2013-10-27","4","Promoot de actie van Coba Baca op social media door het project te ""share-en"", ""tweet-en"" en er over te praten met al je familie, vrienden en kennissen!

Deel, like, share, tweet, verzin een leuke actie en help onze naamsbekendheid te vergroten en het doel te halen!","Overal ter wereld","Marketing / PR","open","Promoters gezocht, ""Like, deel, tweet 1% van uw tijd""!","2013-06-18","social media, twitter, facebook, "
