"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","PROJECT__C","DESCRIPTION__C","CATEGORY__C","PROJECT_BUDGET_EXTERNAL_ID__C","COSTS__C"
"a00J0000004kVKRIA2","false","PB-012218","2013-07-05T15:09:50.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFAlIAP","Aanschaf materialen voor kippenhok, varkenskot, kippen, varkens en een hek van gaas eromheen.","","3","2000.0"
"a00J0000004kVKWIA2","false","PB-012219","2013-07-05T15:09:51.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNF9BIAX","Didactisch materiaal (schrijfmateriaal, pennen, vellen papier en stiften, etc)","","12798","100.0"
"a00J0000004kVKbIAM","false","PB-012220","2013-07-05T15:09:52.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFjUIAX","Nodig voor het bouwen van een nieuw slaap gedeelte voor de jongens","","9","2785.0"
"a00J0000004kVKgIAM","false","PB-012221","2013-07-05T15:09:53.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNExjIAH","De bouwkosten van de werkplaats","","10","5734.0"
"a00J0000004kVZGIA2","false","PB-012222","2013-07-08T07:28:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFD2IAP","voor een graanmolen met generator die op een betonnen vloertje onder een afdak geplaatst moet worden.","","13","282.0"
"a00J0000004kVZHIA2","false","PB-012272","2013-07-08T07:28:59.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEwJIAX","Begeleiding van de jongeren door Braziliaanse begeleiders gedurende proces: 
3 begeleiders wekelijks 4 uur:
12 uur x 28 weken = 336 uur
Gemiddeld uurloon R$ 25,-	
Totaal: R$ 8400,- = € 3.246.25","","7052","3246.0"
"a00J0000004kVZIIA2","false","PB-012325","2013-07-08T07:29:43.000Z","005J00000018K40IAE","2013-07-08T07:38:55.000Z","005J00000018K40IAE","2013-07-08T07:38:55.000Z","a01J000000VNFUzIAP","Monitoring and followup  of recipients: 
Motorcycle fuel: (10 trips x 12L x Euro 1.4)","","39363","168.0"
"a00J0000004kVZJIA2","false","PB-012403","2013-07-08T07:30:56.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFlSIAX","communicatiekosten","","19033","150.0"
"a00J0000004kVZKIA2","false","PB-012426","2013-07-08T07:31:16.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEzHIAX","Multivitamins
weighing machines","","37626","1145.0"
"a00J0000004kVZLIA2","false","PB-012223","2013-07-08T07:28:20.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNF9tIAH","Nouvelle Vie au Rwanda heeft een startkapitaal nodig voor de aanschaf van fietsen op de lokale markt en voor het organiseren van trainingen van de gezinnen die een fiets krijgen.","","16","2000.0"
"a00J0000004kVZMIA2","false","PB-012302","2013-07-08T07:29:24.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNExsIAH","Bouwen van de 15 waterputten.","","166","3500.0"
"a00J0000004kVZNIA2","false","PB-012365","2013-07-08T07:30:17.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFAOIA5","Overige materialen","","6242","10609.0"
"a00J0000004kVZOIA2","false","PB-012422","2013-07-08T07:31:13.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYOIA5","Schoffel 10 stuks, Rs. 200 per stuk = euro 30","","939","30.0"
"a00J0000004kVZQIA2","false","PB-012224","2013-07-08T07:28:20.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFpSIAX","Na het volgen van vakopleidingen kunnen jonge nomaden m/v met een kleine lening een eigen bedrijf, winkel of dienst beginnen","","18","10000.0"
"a00J0000004kVZRIA2","false","PB-012244","2013-07-08T07:28:37.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYEIA5","bedrag betaald aan de bouw van de klasliokalen in de eerste fase van het project","","8200","1845.0"
"a00J0000004kVZSIA2","false","PB-012259","2013-07-08T07:28:49.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFWSIA5","Opleiden van kleermakers, het begeleiden van management en marketing, zodat het bedrijf door Gambianen zelf voortgezet kan worden.","","84","3000.0"
"a00J0000004kVZTIA2","false","PB-012269","2013-07-08T07:28:57.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFAxIAP","Aanschaf busje voor het vervoer van de deelnemers uit de verschillende townships naar het WCRC","","17396","2500.0"
"a00J0000004kVZUIA2","false","PB-012290","2013-07-08T07:29:15.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFkDIAX","500 x 1,60eu","","7909","800.0"
"a00J0000004kVZVIA2","false","PB-012225","2013-07-08T07:28:21.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNF9kIAH","Aanvullen van het schoolgeld van kinderen uit arme gezinnen en van wezen.","","23","5000.0"
"a00J0000004kVZWIA2","false","PB-012251","2013-07-08T07:28:42.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFo6IAH","Operationele kosten zoals leraren, onderhoud en materiaal.","","56","0.0"
"a00J0000004kVZXIA2","false","PB-012278","2013-07-08T07:29:04.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEvfIAH","Met uw hulp wordt aan kansarme jongeren een toekomstperspectief geboden; ze worden getraind en begeleid naar werk.","","120","4346.0"
"a00J0000004kVZYIA2","false","PB-012291","2013-07-08T07:29:16.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEyGIAX","Aankoop van zoveel mogelijk bibliotheekboeken voor kinderen in de lagere school leeftijd.","","144","750.0"
"a00J0000004kVZZIA2","false","PB-012295","2013-07-08T07:29:19.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEv2IAH","Vervoer van kinderen naar naschoolse opvang in Curaçao","","155","7000.0"
